"site_code.x","project_name","community_type","mode_yr","site_proj_comm","OID_","site_code.y","Latitude","Longitude","MAP","MAT","GDiv","ANPP","HumanDisturbance","N_Deposition"
"CUL","Culardoch","0",1,"CUL_Culardoch_0",39,"CUL",57.0666667,-3.3333333,1069,4.9,33.76577546,105,4.1162314,692.541626
"California_RanchoMarino","0","0",1,"California_RanchoMarino",192,"California_RanchoMarino",35.54,-121.09,733,NA,42,422,17.374882,354.2384033
"California_Sedgwick","0","0",1,"California_Sedgwick",193,"California_Sedgwick",34.68,-120.03,565,15,37,287,10.0637932,354.2384033
"California_Sedgwick_Airstrip","0","0",1,"California_Sedgwick_Airstrip",194,"California_Sedgwick_Airstrip",34.69,-120.04,401,15,30,271,10.7643118,354.2384033
"California_Sedgwick_Lisque","0","0",1,"California_Sedgwick_Lisque",195,"California_Sedgwick_Lisque",34.69,-120.04,401,15,56,271,10.7643118,354.2384033
"California_Sedgwick_Mesa","0","0",1,"California_Sedgwick_Mesa",196,"California_Sedgwick_Mesa",34.69,-120.04,401,15,54,271,10.7643118,354.2384033
"Canada_Currie","0","0",4,"Canada_Currie",197,"Canada_Currie",50.73,-120.52,304,8.3,12,155.4,30.0856647,247.0965118
"Canada_Dewdrop.1","0","0",2,"Canada_Dewdrop.1",198,"Canada_Dewdrop.1",50.76,-120.65,353,6.1,9,83.6,13.7761745,247.0965118
"Canada_Dewdrop.2","0","0",3,"Canada_Dewdrop.2",199,"Canada_Dewdrop.2",50.75,-120.63,320,8.5,13,163.6,22.0355816,247.0965118
"Canada_Drum","0","0",1,"Canada_Drum",200,"Canada_Drum",50.09,-120.67,434,5.3,13,99,7.1306758,247.0965118
"Canada_FLHT.2","0","0",1,"Canada_FLHT.2",202,"Canada_FLHT.2",50.74,-120.36,441,8.4,14,187.9,42.4878044,247.0965118
"Canada_Frolek","0","0",2,"Canada_Frolek",203,"Canada_Frolek",50.82,-120.44,388,5.1,18,293.5,10.0842619,247.0965118
"Canada_Goose.Lake","0","0",3,"Canada_Goose.Lake",204,"Canada_Goose.Lake",50.1,-120.43,329,4.1,24,283.8,3.0611486,247.0965118
"Canada_LG1.LDB","0","0",2,"Canada_LG1.LDB",210,"Canada_LG1.LDB",50.73,-120.44,376,7.5,9,114.6,21.1768284,247.0965118
"Canada_LG2.LDB","0","0",1,"Canada_LG2.LDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada_LG3.LDB","0","0",1,"Canada_LG3.LDB",211,"Canada_LG3.LDB",50.73,-120.44,384,7.5,13,153.4,21.1768284,247.0965118
"Canada_LG4.LDB","0","0",1,"Canada_LG4.LDB",212,"Canada_LG4.LDB",50.74,-120.43,364,7.5,17,147.3,19.690134,247.0965118
"Canada_LG5.LDB","0","0",1,"Canada_LG5.LDB",213,"Canada_LG5.LDB",50.74,-120.43,362,7.5,12,218.8,19.690134,247.0965118
"Canada_LGS.1","0","0",1,"Canada_LGS.1",214,"Canada_LGS.1",50.73,-120.43,391,7.5,16,87.8,21.3044605,247.0965118
"Canada_LGS.2","0","0",2,"Canada_LGS.2",215,"Canada_LGS.2",50.74,-120.43,412,7.5,10,162.6,19.690134,247.0965118
"Canada_LGS.3","0","0",1,"Canada_LGS.3",216,"Canada_LGS.3",50.74,-120.43,469,7.5,20,176.1,19.690134,247.0965118
"Canada_LGS.4","0","0",1,"Canada_LGS.4",217,"Canada_LGS.4",50.73,-120.44,365,7.5,12,126.8,21.1768284,247.0965118
"Canada_LGS.5","0","0",3,"Canada_LGS.5",218,"Canada_LGS.5",50.73,-120.44,383,7.5,12,173,21.1768284,247.0965118
"Canada_LGS.6","0","0",1,"Canada_LGS.6",219,"Canada_LGS.6",50.74,-120.44,304,7.5,16,186.7,19.7053757,247.0965118
"Canada_Long.lake.4","0","0",1,"Canada_Long.lake.4",223,"Canada_Long.lake.4",50.79,-120.4,448,6.1,15,198.4,18.2975445,247.0965118
"Canada_Long.lake.5","0","0",1,"Canada_Long.lake.5",224,"Canada_Long.lake.5",50.79,-120.4,441,6.1,17,208.4,18.2975445,247.0965118
"Canada_Long.lake.6","0","0",1,"Canada_Long.lake.6",225,"Canada_Long.lake.6",50.79,-120.4,388,6.1,22,230.3,18.2975445,247.0965118
"Canada_Lundbom.Lake","0","0",1,"Canada_Lundbom.Lake",226,"Canada_Lundbom.Lake",50.09,-120.63,329,4,9,191,8.106575,247.0965118
"Canada_MG1.LDB","0","0",1,"Canada_MG1.LDB",228,"Canada_MG1.LDB",50.76,-120.44,327,5.9,16,231.4,14.8388863,247.0965118
"Canada_MG2.LDB","0","0",1,"Canada_MG2.LDB",229,"Canada_MG2.LDB",50.76,-120.44,327,5.9,20,215.2,14.8388863,247.0965118
"Canada_MG3.LDB","0","0",1,"Canada_MG3.LDB",230,"Canada_MG3.LDB",50.74,-120.44,328,7.5,21,249.6,19.7053757,247.0965118
"Canada_MGBR.1","0","0",1,"Canada_MGBR.1",231,"Canada_MGBR.1",50.76,-120.44,375,5.9,20,288.2,14.8388863,247.0965118
"Canada_MGBR.2","0","0",4,"Canada_MGBR.2",232,"Canada_MGBR.2",50.77,-120.43,376,5.9,21,271.4,16.8958035,247.0965118
"Canada_Mara.1","0","0",1,"Canada_Mara.1",227,"Canada_Mara.1",50.74,-120.5,334,7.4,16,157.9,17.6706429,247.0965118
"Canada_Powerline","0","0",4,"Canada_Powerline",233,"Canada_Powerline",50.13,-120.44,373,4.8,15,219.1,4.1278529,247.0965118
"Canada_Redhil","0","0",1,"Canada_Redhil",234,"Canada_Redhil",50.75,-120.42,384,7.5,16,314.1,20.0055199,247.0965118
"Canada_Repeter","0","0",3,"Canada_Repeter",235,"Canada_Repeter",50.07,-120.43,364,3.9,12,318.7,4.0792537,247.0965118
"Canada_Summit.North","0","0",4,"Canada_Summit.North",236,"Canada_Summit.North",50.06,-120.43,362,3.9,17,340.4,4.077343,247.0965118
"Canada_Summit.South","0","0",1,"Canada_Summit.South",237,"Canada_Summit.South",50.06,-120.43,391,3.9,14,417.6,4.077343,247.0965118
"Canada_TMV","0","0",1,"Canada_TMV",238,"Canada_TMV",50.8,-120.39,412,5.6,17,220.6,15.0880041,247.0965118
"Canada_UG1.LDB","0","0",1,"Canada_UG1.LDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada_UG2.LDB","0","0",1,"Canada_UG2.LDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada_UG3.LDB","0","0",1,"Canada_UG3.LDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada_fht1","0","0",1,"Canada_fht1",201,"Canada_fht1",50.74,-120.44,448,7.5,18,247.4,19.7053757,247.0965118
"Canada_gooselake2","0","0",1,"Canada_gooselake2",205,"Canada_gooselake2",50.11,-120.42,334,4.1,18,251.5,1.7562101,247.0965118
"Canada_hav","0","0",1,"Canada_hav",206,"Canada_hav",50.09,-120.45,327,4.1,20,202.2,4.2759881,247.0965118
"Canada_hbb","0","0",3,"Canada_hbb",207,"Canada_hbb",50.08,-120.45,327,3.9,14,247.7,8.0539799,247.0965118
"Canada_hkb","0","0",2,"Canada_hkb",208,"Canada_hkb",50.08,-120.47,328,4.4,11,275.8,4.046824,247.0965118
"Canada_hsr","0","0",1,"Canada_hsr",209,"Canada_hsr",50.07,-120.45,375,3.9,20,210.9,4.0494571,247.0965118
"Canada_llrs","0","0",1,"Canada_llrs",220,"Canada_llrs",50.78,-120.41,353,6.1,16,312.3,16.9954052,247.0965118
"Canada_lls1","0","0",2,"Canada_lls1",221,"Canada_lls1",50.8,-120.41,320,5.6,16,198,13.8999758,247.0965118
"Canada_llw","0","0",4,"Canada_llw",222,"Canada_llw",50.79,-120.41,434,6.1,13,205.5,18.2975445,247.0965118
"CanaryIsland_Anaga","0","0",1,"CanaryIsland_Anaga",239,"CanaryIsland_Anaga",28.54,-16.19,480,19.4,114,256,18.4942665,84.6135635
"CanaryIsland_Teno","0","0",1,"CanaryIsland_Teno",240,"CanaryIsland_Teno",28.25,-16.75,450,12.7,136,NA,10.8029728,84.6135635
"CanaryIsland_Valle","0","0",1,"CanaryIsland_Valle",241,"CanaryIsland_Valle",28.08,-17.33,313,18.6,92,174,22.017805,84.6135635
"CedarCreek","0","0",1,"CedarCreek",242,"CedarCreek",45.08,-93.17,825,7.1,84,222,43.3671799,897.5437012
"China_LC","0","0",1,"China_LC",243,"China_LC",43.55,116.67,334,1.2,30,150,12.1735945,694.2258301
"China_SG","0","0",1,"China_SG",244,"China_SG",43.54,116.56,334,1.3,28,150,5.5158081,694.2258301
"Cisco Mesa","0","0",2,"Cisco Mesa",246,"Cisco Mesa",39.05,-109.37,223,11.1,21,NA,2.455893,297.7605896
"Cisco Wash 1","0","0",2,"Cisco Wash 1",247,"Cisco Wash 1",39.01,-109.42,215,11.4,16,NA,9.5729294,297.7605896
"Cisco Wash 2","0","0",2,"Cisco Wash 2",248,"Cisco Wash 2",39.01,-109.41,215,11.5,24,NA,9.5729294,297.7605896
"DCGS","gap","0",1,"DCGS_gap_0",40,"DCGS",45.933333,-88.983333,810,3.9,110.4032421,708,8.1003551,816.6661377
"DL","GCME","0",1,"DL_GCME_0",43,"DL",42.0333333,116.2833333,391,1.6,63.96374035,205.3,15.4433374,1901.710449
"DL","GCME2","0",1,"DL_GCME2_0",41,"DL",42.0333333,116.2833333,391,1.6,59.75113303,205.3,15.4433374,1901.710449
"DL","NSFC","0",1,"DL_NSFC_0",42,"DL",42.0333333,116.2833333,391,1.6,NA,173.8365714,15.4433374,1901.710449
"DL","Precip","0",1,"DL_Precip_0",44,"DL",42.0333333,116.2833333,391,1.6,48.72353009,205.3,15.4433374,1901.710449
"DesertHigh","0","0",4,"DesertHigh",250,"DesertHigh",41.42,-111.42,635,2.4,33,203,5.8580976,297.7605896
"DesertLow","0","0",2,"DesertLow",251,"DesertLow",41.36,-111.42,305,2,18,125,9.6411562,297.7605896
"DesertSage","0","0",3,"DesertSage",252,"DesertSage",41.18,-111.08,305,3.9,27,47,11.6056824,297.7605896
"Dry Valley","0","0",1,"Dry Valley",253,"Dry Valley",38.15,-109.4,293,9.5,18,NA,7.4891419,297.7605896
"EGN","Nmow","0",1,"EGN_Nmow_0",45,"EGN",50.24807572,119.4188179,374,-1.7,53.38175207,198.5,1.9341699,648.9813232
"Ethiopia","0","0",2,"Ethiopia",254,"Ethiopia",4.78,38.37,500,19.3,31,NA,8.5763893,203.4675751
"Finse","WarmNut","0",4,"Finse_WarmNut_0",46,"Finse",60,7,1835,-1.1,104.1726592,95,3.2054586,557.8624878
"FortKeogh","0","0",1,"FortKeogh",255,"FortKeogh",46.39,-105.87,339,7.7,48,124,29.5718994,423.0978088
"France_Heath","0","0",2,"France_Heath",256,"France_Heath",45.08,6.05,940,5.7,80,320,27.5955372,1189.038208
"France_Mesic","0","0",2,"France_Mesic",257,"France_Mesic",44.87,5.47,1380,4.6,75,220,9.305891,1189.038208
"France_Xeric","0","0",4,"France_Xeric",258,"France_Xeric",44.87,5.47,1380,4.6,64,130,9.305891,1189.038208
"GVN","FACE","0",1,"GVN_FACE_0",48,"GVN",52.4833333,4.783333,794,9.2,30.85,NA,40.2376938,1476.593506
"Germany1","0","0",2,"Germany1",259,"Germany1",49.88,8.66,629,9.7,105,NA,46.2768173,1475.484863
"Germany2","0","0",1,"Germany2",260,"Germany2",49.88,8.66,629,9.7,55,NA,46.2768173,1475.484863
"Glen","Fert","0",1,"Glen_Fert_0",47,"Glen",56.816667,-3.433333,1002,5.8,73.61298471,NA,4.2994709,692.541626
"HAYS","Precip","0",1,"HAYS_Precip_0",50,"HAYS",38.866667,-99.383333,581,11.7,60.81493056,331,14.9837971,780.62323
