genus_species,species_matched,AccSpeciesID,AccSpeciesName,ObsNum,ObsGRNum,MeasNum,MeasGRNum,TraitNum,match,old
berroa gnaphalioides,Berroa gnaphalioides,286509,Berroa gnaphalioides,2,NA,2,NA,2,1,Berroa gnaphalioides
brasica nigra,Brassica nigra,8256,Brassica nigra,444,3,994,17,148,1,Brassica nigra
centaureum pulchellum,Centaurium pulchellum,11640,Centaurium pulchellum,463,22,1059,31,136,1,Centaurium pulchellum
chaetotropis elongata,Polypogon elongatus,43324,Polypogon elongatus,63,NA,77,NA,10,1,Polypogon elongatus
commelina erecta,Commelina erecta,14084,Commelina erecta,334,50,724,415,66,1,Commelina erecta
commelina erecta,Commelina erecta,300998,Commelina erecta var. angustifolia,3,NA,3,NA,1,1,Commelina erecta
commelina erecta,Commelina erecta,300999,Commelina erecta var. deamiana,1,NA,1,NA,1,1,Commelina erecta var. deamiana
commelina erecta,Commelina erecta,301000,Commelina erecta var. erecta,1,NA,1,NA,1,1,Commelina erecta
crepis setosa,Crepis setosa,15198,Crepis setosa,122,14,327,95,99,1,Crepis setosa
cyperus reflexus,Cyperus reflexus,16440,Cyperus reflexus,36,4,118,60,37,1,Cyperus reflexus
dipsacus fullonum,Dipsacus fullonum,18729,Dipsacus fullonum,857,13,2243,104,181,1,Dipsacus fullonum
distichlis scoparia,Distichlis scoparia,18977,Distichlis scoparia,10,NA,23,NA,13,1,Distichlis scoparia
eryngium eburneum horridum,Eryngium eburneum,224998,Eryngium eburneum,14,NA,29,NA,8,1,Eryngium eburneum
eryngium elegans,Eryngium elegans,21964,Eryngium elegans,53,6,95,27,20,1,Eryngium elegans
hordeum stenostachys,Hordeum stenostachys,29540,Hordeum stenostachys,13,NA,24,NA,10,1,Hordeum stenostachys
hybantus parviflora,Hybanthus parviflorus,234045,Hybanthus parviflorus,13,NA,15,NA,3,1,Hybanthus parviflorus
hypochoeris brasiliensis,Hypochaeris chillensis,86601,Hypochaeris chillensis,11,NA,15,NA,3,1,Hypochaeris chillensis
hypochoeris brasiliensis,Hypochaeris chillensis,234386,Hypochaeris brasiliensis,19,NA,21,NA,1,1,Hypochaeris chillensis
hypochoeris brasiliensis,Hypochaeris chillensis,332598,Hypochaeris brasiliensis var. tweediei,1,NA,1,NA,1,1,Hypochaeris chillensis
hypochoeris microcephala,Hypochaeris microcephala,30051,Hypochaeris microcephala,17,2,33,11,13,1,Hypochaeris microcephala
leersia hexandra,Leersia hexandra,32659,Leersia hexandra,148,5,200,14,29,1,Leersia hexandra
linaria texana,Linaria canadensis,33527,Linaria canadensis,22,NA,32,NA,9,1,Linaria canadensis
nothoscordum inodorum,Allium neapolitanum,2544,Allium neapolitanum,41,NA,91,NA,43,1,Allium neapolitanum
