"year","exp_unit","richness","Evar"
2021,"ains_dn.uk::2::12::Control::2021",18,0.418434137502031
2022,"ains_dn.uk::2::12::Control::2022",20,0.180615214293994
2021,"ains_dn.uk::2::7::Control::2021",12,0.368751676309011
2022,"ains_dn.uk::2::7::Control::2022",13,0.152878311868805
2021,"ains_dn.uk::3::15::Control::2021",9,0.274142037089112
2022,"ains_dn.uk::3::15::Control::2022",11,0.336327145673081
2021,"ains_dn.uk::3::16::Control::2021",15,0.39453847900069
2022,"ains_dn.uk::3::16::Control::2022",15,0.352190749638956
2021,"ains_dn.uk::3::18::Control::2021",10,0.272294678721421
2022,"ains_dn.uk::3::18::Control::2022",13,0.139867779242379
2022,"aish.ca::1::1::Control::2022",13,0.426918956637886
2022,"aish.ca::1::10::Control::2022",12,0.524522418850298
2022,"aish.ca::1::2::Control::2022",12,0.299730934986666
2022,"aish.ca::1::3::Control::2022",15,0.525068495536895
2022,"aish.ca::1::4::Control::2022",18,0.387537352667923
2022,"aish.ca::1::5::Control::2022",15,0.53162297088907
2022,"aish.ca::1::6::Control::2022",9,0.539172228413781
2022,"aish.ca::1::7::Control::2022",7,0.381144077580459
2022,"aish.ca::1::8::Control::2022",8,0.374286415993231
2022,"aish.ca::1::9::Control::2022",10,0.4252031459797
2007,"amcamp.us::1::1::Control::2007",12,0.201482834484862
2007,"amcamp.us::1::10::Control::2007",12,0.264380818934489
2007,"amcamp.us::1::2::Control::2007",15,0.173101897020253
2007,"amcamp.us::1::3::Control::2007",18,0.264333427922599
2007,"amcamp.us::1::4::Control::2007",11,0.197977253687635
2007,"amcamp.us::1::5::Control::2007",11,0.346876082163928
2007,"amcamp.us::1::6::Control::2007",16,0.22482489200117
2007,"amcamp.us::1::7::Control::2007",9,0.172572047250461
2007,"amcamp.us::1::8::Control::2007",15,0.193586655364154
2007,"amcamp.us::1::9::Control::2007",15,0.221797511600862
2007,"amcamp.us::2::11::Control::2007",10,0.244855863874921
2007,"amcamp.us::2::12::Control::2007",14,0.26267425319048
2007,"amcamp.us::2::13::Control::2007",10,0.205526937127099
2007,"amcamp.us::2::14::Control::2007",14,0.240555741645835
2007,"amcamp.us::2::15::Control::2007",12,0.18347092679626
2007,"amcamp.us::2::16::Control::2007",11,0.279601029567081
2007,"amcamp.us::2::17::Control::2007",11,0.228420122476052
2007,"amcamp.us::2::18::Control::2007",18,0.206420989428653
2007,"amcamp.us::2::19::Control::2007",15,0.204133186736633
2007,"amcamp.us::2::20::Control::2007",12,0.194947940878356
2007,"amcamp.us::3::21::Control::2007",13,0.209527102235201
2007,"amcamp.us::3::22::Control::2007",14,0.205721547945539
2007,"amcamp.us::3::23::Control::2007",12,0.21577825967402
2007,"amcamp.us::3::24::Control::2007",9,0.19429214100649
2007,"amcamp.us::3::25::Control::2007",16,0.227664997051684
2007,"amcamp.us::3::26::Control::2007",12,0.178515882015573
2007,"amcamp.us::3::27::Control::2007",13,0.211701128090084
2007,"amcamp.us::3::28::Control::2007",13,0.341036083057884
2007,"amcamp.us::3::29::Control::2007",14,0.207079010205681
2007,"amcamp.us::3::30::Control::2007",8,0.139062456592969
2016,"amlr.is::1::1::Control::2016",8,0.456643057730975
2017,"amlr.is::1::1::Control::2017",6,0.185992706629452
2018,"amlr.is::1::1::Control::2018",8,0.403693907061681
2019,"amlr.is::1::1::Control::2019",11,0.593735057024272
2016,"amlr.is::1::10::PK::2016",5,0.221209538212554
2017,"amlr.is::1::10::PK::2017",6,0.550365119549199
2018,"amlr.is::1::10::PK::2018",10,0.274829687229897
2019,"amlr.is::1::10::PK::2019",9,0.309397579751791
2016,"amlr.is::1::2::Fence::2016",6,0.536381027393928
2017,"amlr.is::1::2::Fence::2017",7,0.338777648977527
2018,"amlr.is::1::2::Fence::2018",9,0.426476981466565
2019,"amlr.is::1::2::Fence::2019",11,0.479715791369
2016,"amlr.is::1::3::NPK::2016",9,0.56402253127168
2017,"amlr.is::1::3::NPK::2017",10,0.205915729139048
2018,"amlr.is::1::3::NPK::2018",11,0.177427731899244
2019,"amlr.is::1::3::NPK::2019",17,0.19014616230829
2016,"amlr.is::1::4::NPK+Fence::2016",10,0.274829687229897
2017,"amlr.is::1::4::NPK+Fence::2017",8,0.192272617587025
2018,"amlr.is::1::4::NPK+Fence::2018",8,0.268809573534268
2019,"amlr.is::1::4::NPK+Fence::2019",13,0.134426427588408
2016,"amlr.is::1::5::N::2016",6,0.276649833615637
2017,"amlr.is::1::5::N::2017",8,0.32972317596631
2018,"amlr.is::1::5::N::2018",12,0.446973965600066
2019,"amlr.is::1::5::N::2019",13,0.352134305053576
2016,"amlr.is::1::6::P::2016",3,0.219034472912179
2017,"amlr.is::1::6::P::2017",7,0.160501498990383
2018,"amlr.is::1::6::P::2018",10,0.23705167899384
2019,"amlr.is::1::6::P::2019",11,0.335119719635171
2016,"amlr.is::1::7::K::2016",9,0.559135366460546
2017,"amlr.is::1::7::K::2017",9,0.809671972088248
2018,"amlr.is::1::7::K::2018",11,0.32070794290277
2019,"amlr.is::1::7::K::2019",10,0.46587362626074
2016,"amlr.is::1::8::NP::2016",4,0.158646568373565
2017,"amlr.is::1::8::NP::2017",7,0.164215654160949
2018,"amlr.is::1::8::NP::2018",8,0.194043835557593
2019,"amlr.is::1::8::NP::2019",11,0.194759700442807
2016,"amlr.is::1::9::NK::2016",5,0.274439608355223
2017,"amlr.is::1::9::NK::2017",9,0.58094293957955
2018,"amlr.is::1::9::NK::2018",13,0.319878801355138
2019,"amlr.is::1::9::NK::2019",11,0.156344104180623
2016,"amlr.is::2::11::Control::2016",5,0.431101554841823
2017,"amlr.is::2::11::Control::2017",8,0.206891550832255
2018,"amlr.is::2::11::Control::2018",8,0.255604650455319
2019,"amlr.is::2::11::Control::2019",14,0.468649646684149
2016,"amlr.is::2::12::Fence::2016",9,0.240378539615208
2017,"amlr.is::2::12::Fence::2017",8,0.593184929110206
2018,"amlr.is::2::12::Fence::2018",9,0.317364215545047
2019,"amlr.is::2::12::Fence::2019",10,0.288598059536385
2016,"amlr.is::2::13::NPK::2016",4,0.16487121219276
2017,"amlr.is::2::13::NPK::2017",6,0.275473810959714
2018,"amlr.is::2::13::NPK::2018",7,0.198260514257474
2019,"amlr.is::2::13::NPK::2019",10,0.111386966594799
2016,"amlr.is::2::14::NPK+Fence::2016",8,0.325047524696941
2017,"amlr.is::2::14::NPK+Fence::2017",9,0.300170762083584
2018,"amlr.is::2::14::NPK+Fence::2018",10,0.390602580667088
2019,"amlr.is::2::14::NPK+Fence::2019",12,0.158223407578306
2016,"amlr.is::2::15::N::2016",4,0.367281333625256
2017,"amlr.is::2::15::N::2017",9,0.337907888119999
2018,"amlr.is::2::15::N::2018",8,0.427117563132494
2019,"amlr.is::2::15::N::2019",14,0.487819455183723
2016,"amlr.is::2::16::P::2016",9,0.415282120189007
2017,"amlr.is::2::16::P::2017",10,0.366860140312208
2018,"amlr.is::2::16::P::2018",9,0.906549936183674
2019,"amlr.is::2::16::P::2019",11,0.574852527861582
2016,"amlr.is::2::17::K::2016",7,0.306011394462804
2017,"amlr.is::2::17::K::2017",7,0.591978329212213
2018,"amlr.is::2::17::K::2018",7,0.808931117844049
2019,"amlr.is::2::17::K::2019",11,0.377068391247737
2016,"amlr.is::2::18::NP::2016",5,0.309838703189878
2017,"amlr.is::2::18::NP::2017",9,0.202854553018281
2018,"amlr.is::2::18::NP::2018",9,0.149140487297849
2019,"amlr.is::2::18::NP::2019",9,0.102311505718374
2016,"amlr.is::2::19::NK::2016",3,0.294081755059901
2017,"amlr.is::2::19::NK::2017",5,0.683964445409196
