"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"SCHIZACHYRIUM FRAGILE","SCHIZACHYRIUM","","fragile",NA,NA,"","","kew-441314",TRUE,"1.1","Accepted","Poaceae","Schizachyrium","","fragile","","","(R.Br.) A.Camus","kew-441314","Accepted",FALSE,FALSE,FALSE,2024-07-10
"BULBINE BULBOSA","BULBINE","","bulbosa",NA,NA,"","","kew-301270",TRUE,"1.1","Accepted","Xanthorrhoeaceae","Bulbine","","bulbosa","","","(R.Br.) Haw.","kew-301270","Accepted",FALSE,FALSE,FALSE,2024-07-10
"DACTYLOCTENIUM RADULANS","DACTYLOCTENIUM","","radulans",NA,NA,"","","kew-406879",TRUE,"1.1","Accepted","Poaceae","Dactyloctenium","","radulans","","","(R.Br.) P.Beauv.","kew-406879","Accepted",FALSE,FALSE,FALSE,2024-07-10
"EPILOBIUM BILLARDIEREANUM","EPILOBIUM","","billardiereanum",NA,NA,"","","kew-2790172",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","billardierianum","","","Ser.","kew-2790172","Accepted",TRUE,FALSE,FALSE,2024-07-10
"ERAGROSTIS PARVIFLORA","ERAGROSTIS","","parviflora",NA,NA,"","","kew-412953",TRUE,"1.1","Accepted","Poaceae","Eragrostis","","parviflora","","","(R.Br.) Trin.","kew-412953","Accepted",FALSE,FALSE,FALSE,2024-07-10
"PASPALIDIUM ALBOVILLOSUM","PASPALIDIUM","","albovillosum",NA,NA,"","","kew-431136",TRUE,"1.1","Accepted","Poaceae","Paspalidium","","albovillosum","","","S.T.Blake","kew-431136","Accepted",FALSE,FALSE,FALSE,2024-07-10
"ARISTIDA CAPUT-MEDUSAE","ARISTIDA","","caput-medusae",NA,NA,"","","kew-394476",TRUE,"1.1","Accepted","Poaceae","Aristida","","caput-medusae","","","Domin","kew-394476","Accepted",FALSE,FALSE,FALSE,2024-07-10
"CHEILANTHES SIEBERI","CHEILANTHES","","sieberi",NA,NA,"","","tro-26600084",TRUE,"1.1","Unresolved","Pteridaceae","Cheilanthes","","sieberi","","","Kunze","tro-26600084","Unresolved",FALSE,FALSE,FALSE,2024-07-10
"GNAPHALIUM CALVICEPS","GNAPHALIUM","","calviceps",NA,NA,"","","gcc-42735",TRUE,"1.1","Accepted","Compositae","Gnaphalium","","calviceps","","","Fernald","gcc-42735","Accepted",FALSE,FALSE,FALSE,2024-07-10
"ARISTIDA CALYCINA","ARISTIDA","","calycina",NA,NA,"","","kew-394457",TRUE,"1.1","Accepted","Poaceae","Aristida","","calycina","","","R.Br.","kew-394457","Accepted",FALSE,FALSE,FALSE,2024-07-10
"SIDA CORDIFOLIA","SIDA","","cordifolia",NA,NA,"","","kew-2595669",TRUE,"1.1","Accepted","Malvaceae","Sida","","cordifolia","","","L.","kew-2595669","Accepted",FALSE,FALSE,FALSE,2024-07-10
"EREMOCHLOA BIMACULATA","EREMOCHLOA","","bimaculata",NA,NA,"","","kew-413429",TRUE,"1.1","Accepted","Poaceae","Eremochloa","","bimaculata","","","Hack.","kew-413429","Accepted",FALSE,FALSE,FALSE,2024-07-10
"OXALIS SP.","OXALIS","","sp.",NA,NA,"","","",FALSE,"1.1","","","OXALIS","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2024-07-10
"LEUCOCHRYSUM MOLLE","LEUCOCHRYSUM","","molle",NA,NA,"","","gcc-26435",TRUE,"1.1","Accepted","Compositae","Leucochrysum","","molle","","","(A.Cunn. ex DC.) Paul G.Wilson","gcc-26435","Accepted",FALSE,FALSE,FALSE,2024-07-10
"PEROTIS RARA","PEROTIS","","rara",NA,NA,"","","kew-433309",TRUE,"1.1","Accepted","Poaceae","Perotis","","rara","","","R.Br.","kew-433309","Accepted",FALSE,FALSE,FALSE,2024-07-10
"CHLORIS VIRGATA","CHLORIS","","virgata",NA,NA,"","","kew-404976",TRUE,"1.1","Accepted","Poaceae","Chloris","","virgata","","","Sw.","kew-404976","Accepted",FALSE,FALSE,FALSE,2024-07-10
"CYPERUS AGGREGATUS","CYPERUS","","aggregatus",NA,NA,"","","kew-235548",TRUE,"1.1","Accepted","Cyperaceae","Cyperus","","aggregatus","","","(Willd.) Endl.","kew-235548","Accepted",FALSE,FALSE,FALSE,2024-07-10
"CALLITRIS COLUMELLARIS","CALLITRIS","","columellaris",NA,NA,"","","kew-2692863",TRUE,"1.1","Accepted","Cupressaceae","Callitris","","columellaris","","","F.Muell.","kew-2692863","Accepted",FALSE,FALSE,FALSE,2024-07-10
"ERAGROSTIS LEPTOSTACHYA","ERAGROSTIS","","leptostachya",NA,NA,"","","kew-412750",TRUE,"1.1","Accepted","Poaceae","Eragrostis","","leptostachya","","","(R.Br.) Steud.","kew-412750","Accepted",FALSE,FALSE,FALSE,2024-07-10
"PORTULACA OLERACEA","PORTULACA","","oleracea",NA,NA,"","","kew-2566490",TRUE,"1.1","Accepted","Portulacaceae","Portulaca","","oleracea","","","L.","kew-2566490","Accepted",FALSE,FALSE,FALSE,2024-07-10
"PYCNOSORUS CHRYSANTHES","PYCNOSORUS","","chrysanthes",NA,NA,"","","gcc-94932",TRUE,"1.1","Accepted","Compositae","Pycnosorus","","chrysanthes","","","(Schltdl.) Sond.","gcc-94932","Accepted",FALSE,FALSE,FALSE,2024-07-10
"LOMANDRA LEUCOCEPHALA","LOMANDRA","","leucocephala",NA,NA,"","","kew-280096",TRUE,"1.1","Accepted","Asparagaceae","Lomandra","","leucocephala","","","(R.Br.) Ewart","kew-280096","Accepted",FALSE,FALSE,FALSE,2024-07-10
"PIMELEA TRICHOSTACHYA","PIMELEA","","trichostachya",NA,NA,"","","tro-50319065",TRUE,"1.1","Accepted","Thymelaeaceae","Pimelea","","trichostachya","","","Lindl.","tro-50319065","Accepted",FALSE,FALSE,FALSE,2024-07-10
"TRIPOGON LOLIIFORMIS","TRIPOGON","","loliiformis",NA,NA,"","","kew-447494",TRUE,"1.1","Accepted","Poaceae","Tripogon","","loliiformis","","","(F.Muell.) C.E.Hubb.","kew-447494","Accepted",FALSE,FALSE,FALSE,2024-07-10
"MURDANNIA GRAMINEA","MURDANNIA","","graminea",NA,NA,"","","kew-254686",TRUE,"1.1","Accepted","Commelinaceae","Murdannia","","graminea","","","(R.Br.) G.Brückn.","kew-254686","Accepted",FALSE,FALSE,FALSE,2024-07-10
"OPHIOGLOSSUM LUSITANICUM","OPHIOGLOSSUM","","lusitanicum",NA,NA,"","","tro-26602159",TRUE,"1.1","Accepted","Ophioglossaceae","Ophioglossum","","lusitanicum","","","L.","tro-26602159","Accepted",FALSE,FALSE,FALSE,2024-07-10
"SOLANUM ELAEAGNIFOLIUM","SOLANUM","","elaeagnifolium",NA,NA,"","","tro-29602593",TRUE,"1.1","Accepted","Solanaceae","Solanum","","elaeagnifolium","","","Cav.","tro-29602593","Accepted",FALSE,FALSE,FALSE,2024-07-10
"ARGEMONE OCHROLEUCA","ARGEMONE","","ochroleuca",NA,NA,"","","kew-2650542",TRUE,"1.1","Accepted","Papaveraceae","Argemone","","ochroleuca","","","Sweet","kew-2650542","Accepted",FALSE,FALSE,FALSE,2024-07-10
"HELIOTROPIUM AMPLEXICAULE","HELIOTROPIUM","","amplexicaule",NA,NA,"","","kew-2843765",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","amplexicaule","","","Vahl","kew-2843765","Accepted",FALSE,FALSE,FALSE,2024-07-10
"CYMBOPOGON REFRACTUS","CYMBOPOGON","","refractus",NA,NA,"","","kew-406266",TRUE,"1.1","Accepted","Poaceae","Cymbopogon","","refractus","","","(R.Br.) A.Camus","kew-406266","Accepted",FALSE,FALSE,FALSE,2024-07-10
"HYPERICUM FORMOSUM","HYPERICUM","","formosum",NA,NA,"","","kew-2858134",TRUE,"1.1","Accepted","Hypericaceae","Hypericum","","formosum","","","Kunth","kew-2858134","Accepted",FALSE,FALSE,FALSE,2024-07-10
"SIDALCEA NELSONIANA","SIDALCEA","","nelsoniana",NA,NA,"","","tro-19601130",TRUE,"1.1","Accepted","Malvaceae","Sidalcea","","nelsoniana","","","Piper","tro-19601130","Accepted",FALSE,FALSE,FALSE,2024-07-10
"SPIRAEA DENSIFLORA","SPIRAEA","","densiflora",NA,NA,"","","rjp-16704",TRUE,"1.1","Accepted","Rosaceae","Spiraea","","densiflora","","","Nutt. ex Rydb.","rjp-16704","Accepted",FALSE,FALSE,FALSE,2024-07-10
"VERATRUM VIRIDE","VERATRUM","","viride",NA,NA,"","","kew-291258",TRUE,"1.1","Accepted","Melanthiaceae","Veratrum","","viride","","","Aiton","kew-291258","Accepted",FALSE,FALSE,FALSE,2024-07-10
"VIOLA GLABELLA","VIOLA","","glabella",NA,NA,"","","tro-33800400",TRUE,"1.1","Accepted","Violaceae","Viola","","glabella","","","Nutt.","tro-33800400","Accepted",FALSE,FALSE,FALSE,2024-07-10
"BISTORTA BISTORTOIDES","BISTORTA","","bistortoides",NA,NA,"","","kew-2676772",TRUE,"1.1","Unresolved","Polygonaceae","Bistorta","","bistortoides","","","(Pursh) Small","kew-2676772","Unresolved",FALSE,FALSE,FALSE,2024-07-10
"RANUNCULUS NANUS","RANUNCULUS","","nanus",NA,NA,"","","kew-2526228",TRUE,"1.1","Unresolved","Ranunculaceae","Ranunculus","","nanus","","","Fisch. ex DC.","kew-2526228","Unresolved",FALSE,FALSE,FALSE,2024-07-10
"RANUNCULUS ORTHORHYNCHUS","RANUNCULUS","","orthorhynchus",NA,NA,"","","tro-27100482",TRUE,"1.1","Accepted","Ranunculaceae","Ranunculus","","orthorhynchus","","","Hook.","tro-27100482","Accepted",FALSE,FALSE,FALSE,2024-07-10
"RANUNCULUS SP.","RANUNCULUS","","sp.",NA,NA,"","","",FALSE,"1.1","","","RANUNCULUS","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2024-07-10
"ROSA PISOCARPA","ROSA","","pisocarpa",NA,NA,"","","rjp-6055",TRUE,"1.1","Accepted","Rosaceae","Rosa","","pisocarpa","","","A.Gray","rjp-6055","Accepted",FALSE,FALSE,FALSE,2024-07-10
"SENECIO TRIANGULARIS","SENECIO","","triangularis",NA,NA,"","","gcc-8717",TRUE,"1.1","Accepted","Compositae","Senecio","","triangularis","","","Hook.","gcc-8717","Accepted",FALSE,FALSE,FALSE,2024-07-10
"STACHYS SP.","STACHYS","","sp.",NA,NA,"","","",FALSE,"1.1","","","STACHYS","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2024-07-10
"SCIRPUS CONGDONII","SCIRPUS","","congdonii",NA,NA,"","","kew-263964",TRUE,"1.1","Accepted","Cyperaceae","Scirpus","","congdonii","","","Britton","kew-263964","Accepted",FALSE,FALSE,FALSE,2024-07-10
"TRIFOLIUM LONGIPES","TRIFOLIUM","","longipes",NA,NA,"","","ild-20444",TRUE,"1.1","Accepted","Leguminosae","Trifolium","","longipes","","","Torr. & A.Gray","ild-20444","Accepted",FALSE,FALSE,FALSE,2024-07-10
"UNKNOWN ASTERACEAE SP.","","","asteraceae",NA,NA,"","SP.","",FALSE,"1.1","","","UNKNOWN","","asteraceae",NA,"","","","",TRUE,FALSE,FALSE,2024-07-10
