"year","exp_unit","richness","Evar"
"2018","arch.us::3::NP",15,0.356241741570088
"2019","arch.us::3::NP",11,0.368061361478499
"2020","arch.us::3::NP",10,0.482911679468779
"2021","arch.us::3::NP",9,0.342866101973433
"2022","arch.us::3::NP",10,0.395373199013009
"2016","arch.us::3::NPK",17,0.367915151939911
"2017","arch.us::3::NPK",8,0.268281953330147
"2018","arch.us::3::NPK",7,0.372853760622543
"2019","arch.us::3::NPK",7,0.229694928865579
"2020","arch.us::3::NPK",5,0.290006798329415
"2021","arch.us::3::NPK",10,0.31833925712317
"2022","arch.us::3::NPK",11,0.29847514438803
"2016","arch.us::3::NPK+Fence",15,0.359994686099181
"2017","arch.us::3::NPK+Fence",13,0.365211354237132
"2018","arch.us::3::NPK+Fence",10,0.375624793671013
"2019","arch.us::3::NPK+Fence",9,0.400376317315792
"2020","arch.us::3::NPK+Fence",7,0.375974460142861
"2021","arch.us::3::NPK+Fence",8,0.330421473798649
"2022","arch.us::3::NPK+Fence",5,0.250576304287141
"2016","arch.us::3::P",19,0.427345510038642
"2017","arch.us::3::P",15,0.417866677852836
"2018","arch.us::3::P",16,0.445484344517038
"2019","arch.us::3::P",13,0.347284340951954
"2020","arch.us::3::P",11,0.529788309305616
"2021","arch.us::3::P",11,0.323421405621772
"2022","arch.us::3::P",13,0.424024747620302
"2016","arch.us::3::PK",12,0.264777729574077
"2017","arch.us::3::PK",12,0.2923457286958
"2018","arch.us::3::PK",10,0.306427553863381
"2019","arch.us::3::PK",9,0.288590067291834
"2020","arch.us::3::PK",7,0.489482399398799
"2021","arch.us::3::PK",6,0.358390721493367
"2022","arch.us::3::PK",8,0.424524478418242
"2018","arde.ir::1::Control",232,0.150490877789135
"2007","azi.cn::1::Control",61,0.140102337980667
"2008","azi.cn::1::Control",34,0.465693910192612
"2009","azi.cn::1::Control",32,0.473858000283395
"2011","azi.cn::1::Control",22,0.524991478601006
"2012","azi.cn::1::Control",37,0.400536616424001
"2008","azi.cn::1::Fence",35,0.554870658329265
"2009","azi.cn::1::Fence",35,0.620796968271859
"2011","azi.cn::1::Fence",27,0.670399630571174
"2012","azi.cn::1::Fence",29,0.350484060123517
"2008","azi.cn::1::K",39,0.446311814309361
"2009","azi.cn::1::K",33,0.602027008433365
"2011","azi.cn::1::K",26,0.463364693582607
"2012","azi.cn::1::K",23,0.252271812549634
"2008","azi.cn::1::N",32,0.552694212791896
"2009","azi.cn::1::N",29,0.605321220284672
"2011","azi.cn::1::N",19,0.310961506880459
"2012","azi.cn::1::N",38,0.465842254263763
"2008","azi.cn::1::NK",36,0.436493441446689
"2009","azi.cn::1::NK",31,0.524483618013006
"2011","azi.cn::1::NK",24,0.44382555070608
"2012","azi.cn::1::NK",28,0.309225597460639
"2008","azi.cn::1::NP",29,0.411823125736431
"2009","azi.cn::1::NP",30,0.576654809042541
"2011","azi.cn::1::NP",25,0.476262489445272
"2012","azi.cn::1::NP",24,0.325460367535724
"2008","azi.cn::1::NPK",28,0.570284995048717
"2009","azi.cn::1::NPK",23,0.45353410280574
"2011","azi.cn::1::NPK",23,0.400373247290887
"2012","azi.cn::1::NPK",36,0.254136361399515
"2008","azi.cn::1::NPK+Fence",36,0.501678274492033
"2009","azi.cn::1::NPK+Fence",33,0.603840145094074
"2011","azi.cn::1::NPK+Fence",18,0.434775975339637
"2012","azi.cn::1::NPK+Fence",34,0.365144257608754
"2008","azi.cn::1::P",37,0.459831900708105
"2009","azi.cn::1::P",34,0.567808351213789
"2011","azi.cn::1::P",26,0.560142422454267
"2012","azi.cn::1::P",25,0.445417114669773
"2008","azi.cn::1::PK",32,0.447445657552965
"2009","azi.cn::1::PK",28,0.646823212060289
"2011","azi.cn::1::PK",23,0.593584463960986
"2012","azi.cn::1::PK",36,0.279988489177484
"2007","azi.cn::2::Control",58,0.170218501631035
"2008","azi.cn::2::Control",32,0.427661773609903
"2009","azi.cn::2::Control",33,0.58302899236219
"2011","azi.cn::2::Control",30,0.62232207937797
"2012","azi.cn::2::Control",19,0.180143957764745
"2008","azi.cn::2::Fence",33,0.449704659682468
"2009","azi.cn::2::Fence",34,0.611672332165979
"2011","azi.cn::2::Fence",27,0.575662721947555
