OID_,site_code,site_proj_comm,Latitude,Longitude,MAP,MAT,GDiv,ANPP,HumanDisturbance,N_Deposition
17,CAR,CAR_salt marsh_SalCus,34.397343900000003,-119.5283474,408,16,5.998750000000000,1415.000000000000000,47.939266,354.2384033
18,CAR,CAR_salt marsh_DisSal,34.397343900000003,-119.5283474,408,16,5.948333333000000,1415.000000000000000,47.939266,354.2384033
19,CAR,CAR_salt marsh_JaumSal,34.397343900000003,-119.5283474,408,16,3.900000000000000,1415.000000000000000,47.939266,354.2384033
20,CAR,CAR_salt marsh_ArthSal,34.397343900000003,-119.5283474,408,16,4.869444444000000,1415.000000000000000,47.939266,354.2384033
21,CAR,CAR_salt marsh_HighMar,34.397343900000003,-119.5283474,408,16,6.628958333000000,1415.000000000000000,47.939266,354.2384033
22,CAR,CAR_salt marsh_MonArth,34.397343900000003,-119.5283474,408,16,7.075138889000000,1415.000000000000000,47.939266,354.2384033
23,CAU,CAU_RMAPC_FVG,43.450000000000003,41.680000000000000,912,1.3,48.767694830000003,240.027083299999987,3.7028646,828.8179932
24,CAU,CAU_RMAPC_SBC,43.450000000000003,41.680000000000000,912,1.3,26.880694439999999,121.274458300000006,3.7028646,828.8179932
25,CAU,CAU_RMAPC_ALH,43.450000000000003,41.680000000000000,912,1.3,38.263402780000000,148.642708300000010,3.7028646,828.8179932
26,CAU,CAU_RMAPC_GHM,43.450000000000003,41.680000000000000,912,1.3,30.048553240000000,300.728749999999991,3.7028646,828.8179932
27,CDR,CDR_e002_A,45.399999999999999,-93.2,751,6.3,50.802355319999997,160.245910500000008,15.4327831,897.5437012
28,CDR,CDR_e002_C,45.399999999999999,-93.2,751,6.3,73.395806289999996,270.781183300000009,15.4327831,897.5437012
29,CDR,CDR_e001_D,45.399999999999999,-93.2,751,6.3,95.308065990000003,470.895080800000017,15.4327831,897.5437012
30,CDR,CDR_e001_C,45.399999999999999,-93.2,751,6.3,65.713405660000006,493.802446400000008,15.4327831,897.5437012
31,CDR,CDR_e001_B,45.399999999999999,-93.2,751,6.3,57.473074490000002,397.154116699999975,15.4327831,897.5437012
32,CDR,CDR_e002_B,45.399999999999999,-93.2,751,6.3,55.484836029999997,191.889544199999989,15.4327831,897.5437012
33,CDR,CDR_BioCON_0,45.399999999999999,-93.2,751,6.3,15.191180559999999,436.505059099999983,15.4327831,897.5437012
34,CDR,CDR_e001_A,45.399999999999999,-93.2,751,6.3,57.173016980000000,478.018217999999990,15.4327831,897.5437012
35,CEH,CEH_MEGARICH_0,53.283333300000002,-4.566666,871,9.9,27.084652779999999,779.965100000000007,37.6945419,692.541626
36,CHY,CHY_EDGE_0,41.181770999999998,-104.897546,384,7,82.719312340000002,137.000000000000000,18.9289875,469.1299133
37,CHY,CHY_PHACE_0,41.181770999999998,-104.897546,384,7,51.490214999999999,116.898600299999998,18.9289875,469.1299133
38,CLE,CLE_Imagine_0,45.716666699999998,3.016666700000000,799,8,12.000000000000000,489.384999999999991,29.9681053,1189.038208
39,CUL,CUL_Culardoch_0,57.066666699999999,-3.3333333,1069,4.9,33.765775460000000,105.000000000000000,4.1162314,692.541626
40,DCGS,DCGS_gap_0,45.933332999999998,-88.983333,810,3.9,110.403242100000000,708.000000000000000,8.1003551,816.6661377
41,DL,DL_GCME2_0,42.033333300000002,116.283333299999995,391,1.6,59.751133029999998,205.300000000000011,15.4433374,1901.710449
